ProductID,Name,Price,category,SalesID,Quantity
17,Mountain End Caps,590.40,Mountain,90,6
17,Mountain End Caps,590.40,Mountain,254,6
180,LL Mountain Rim,608.40,Mountain,246,10
181,ML Mountain Rim,914.40,Mountain,204,2
189,HL Mountain Seat Assembly,196.92,Mountain,2,9
189,HL Mountain Seat Assembly,196.92,Mountain,263,1
214,Mountain Bike Socks M,9.50,Mountain,43,9
214,Mountain Bike Socks M,9.50,Mountain,266,7
215,Mountain Bike Socks L,9.50,Mountain,168,1
215,Mountain Bike Socks L,9.50,Mountain,75,9
276,Mountain-100 Silver 38,3399.99,Mountain,126,4
276,Mountain-100 Silver 38,3399.99,Mountain,264,10
280,Mountain-100 Black 38,3374.99,Mountain,287,7
281,Mountain-100 Black 42,3374.99,Mountain,257,8
283,Mountain-100 Black 48,3374.99,Mountain,72,6
284,Mountain-200 Silver 38,2319.99,Mountain,3,2
285,Mountain-200 Silver 42,2319.99,Mountain,202,2
286,Mountain-200 Silver 46,2319.99,Mountain,144,1
287,Mountain-200 Black 38,2294.99,Mountain,185,9
287,Mountain-200 Black 38,2294.99,Mountain,161,7
291,Mountain-300 Black 40,1079.99,Mountain,208,1
293,Mountain-300 Black 48,1079.99,Mountain,115,10
314,ML Mountain Handlebars,61.92,Mountain,163,2
315,HL Mountain Handlebars,120.27,Mountain,102,6
373,Womens Mountain Shorts M,69.99,Mountain,59,2
373,Womens Mountain Shorts M,69.99,Mountain,103,4
374,Womens Mountain Shorts L,69.99,Mountain,117,1
383,Fender Set - Mountain,21.98,Mountain,159,8
383,Fender Set - Mountain,21.98,Mountain,267,3
413,LL Mountain Seat/Saddle,27.12,Mountain,192,5
413,LL Mountain Seat/Saddle,27.12,Mountain,228,1
414,ML Mountain Seat/Saddle,39.14,Mountain,128,10
414,ML Mountain Seat/Saddle,39.14,Mountain,294,6
426,Mountain Tire Tube,4.99,Mountain,215,3
433,LL Mountain Tire,24.99,Mountain,109,6
440,LL Mountain Pedal,40.49,Mountain,167,2
487,Mountain-400-W Silver 42,769.49,Mountain,27,7
488,Mountain-400-W Silver 46,769.49,Mountain,191,9
488,Mountain-400-W Silver 46,769.49,Mountain,186,7
490,Mountain-500 Silver 42,564.99,Mountain,24,5
490,Mountain-500 Silver 42,564.99,Mountain,295,10
491,Mountain-500 Silver 44,564.99,Mountain,182,8
492,Mountain-500 Silver 48,564.99,Mountain,214,9
492,Mountain-500 Silver 48,564.99,Mountain,297,9
493,Mountain-500 Silver 52,564.99,Mountain,226,1
494,Mountain-500 Black 40,539.99,Mountain,198,6
494,Mountain-500 Black 40,539.99,Mountain,177,2
498,Mountain-500 Black 52,539.99,Mountain,9,10
